icao24,callsign,country_icao,time_at_position,longitude,latitude,altitude,on_ground,speed_kmh,true_track,vertical_rate,sensors,geo_altitude,spi,located_at
39de50,TVF96ZB ,France,12:18:05,5.1954,49.3622,10203.18,False,248.86,68.15,10.4,,10599.42,False,Luxembourg-Findel International Airport
3ffc37,DMJWM   ,Germany,12:18:05,7.7495,51.9461,266.7,False,32.04,275.53,9.1,,419.1,False,Düsseldorf Airport
511153,TVS8HM  ,Estonia,12:13:17,17.9612,49.5942,922.02,False,82.64,42.73,-4.23,,1066.8,False,Kraków John Paul II International Airport
3ffc19,DMDIZ   ,Germany,12:18:04,10.5399,52.1121,1112.52,False,53.47,134.61,-0.33,,,False,Hannover Airport
407a05,EZY18UP ,United Kingdom,12:18:04,8.1067,49.142,10668.0,False,248.12,134.16,-0.33,,11056.62,False,Stuttgart Airport
39de42,TVF3579 ,France,12:18:05,6.8166,46.136,11590.02,False,213.38,312.46,0.0,,12123.42,False,Geneva Cointrin International Airport
39de44,TVF35XC ,France,12:18:05,7.4489,45.5592,10347.96,False,208.93,317.0,0.0,,10866.12,False,Turin Airport
4acb02,NSZ4280 ,Sweden,12:18:04,6.8249,53.4957,11582.4,False,232.65,39.89,0.0,,11841.48,False,Amsterdam Airport Schiphol
4bc8c5,PGT11JQ ,Turkey,12:18:05,7.4741,49.9696,10668.0,False,256.78,114.0,0.0,,11033.76,False,Frankfurt Airport
4bc8c2,PGT7VD  ,Turkey,12:18:04,12.9819,50.0375,10972.8,False,202.18,303.69,0.0,,11315.7,False,Václav Havel Airport Prague
4bc8d0,PGT5WG  ,Turkey,12:18:05,9.5286,51.7574,10668.0,False,258.5,106.42,0.0,,10972.8,False,Hannover Airport
511170,MBU7ZT  ,Estonia,12:18:04,6.0047,46.4309,11894.82,False,215.66,228.09,0.0,,12412.98,False,Geneva Cointrin International Airport
471efc,WMT3UR  ,Hungary,12:18:05,14.1527,46.185,10972.8,False,200.51,313.44,0.0,,11460.48,False,Ljubljana Jože Pučnik Airport
407a3f,AWC242  ,United Kingdom,12:18:04,13.5774,47.7951,11590.02,False,204.67,319.38,0.0,,12039.6,False,Munich Airport
3d36ed,DETAZ   ,Germany,12:18:04,8.3026,49.0226,2590.8,False,89.55,148.87,0.0,,2773.68,False,Stuttgart Airport
440261,OEFDI   ,Austria,12:18:04,13.3687,49.4723,1280.16,False,93.94,127.43,-20.16,,1455.42,False,Václav Havel Airport Prague
44024e,MOZ81   ,Austria,12:18:04,13.0177,48.0111,3589.02,False,118.32,359.75,12.35,,3802.38,False,Munich Airport
ae0d66,SPADE08 ,United States,12:18:04,8.5955,50.216,1287.78,False,63.66,135.33,-2.93,,1470.66,False,Frankfurt Airport
ae74d8,SALTY06 ,United States,12:18:04,10.7404,49.1885,609.6,False,54.66,251.91,-0.33,,777.24,False,Nuremberg Airport
3c5ee9,EWG9BT  ,Germany,12:18:05,6.8726,51.1023,3848.1,False,186.29,103.58,17.88,,4046.22,False,Düsseldorf Airport
4bc8cb,PGT39VA ,Turkey,12:18:05,19.0828,46.2275,10363.2,False,203.66,311.83,0.0,,10820.4,False,Budapest Liszt Ferenc International Airport
4bc8ca,PGT61HP ,Turkey,12:16:08,18.1584,46.9114,10363.2,False,224.45,315.28,0.33,,10835.64,False,Budapest Liszt Ferenc International Airport
505dd9,OMSNY   ,Slovakia,12:18:01,18.0443,48.326,1150.62,False,34.68,302.28,-0.33,,,False,M. R. Štefánik Airport
3c5ee4,EWG20K  ,Germany,12:18:05,14.4822,48.8929,9448.8,False,227.04,120.05,0.0,,9784.08,False,Václav Havel Airport Prague
46b82a,AEE625  ,Greece,12:18:05,7.1976,51.0148,9608.82,False,243.47,142.21,4.55,,9944.1,False,Cologne Bonn Airport
3c5eea,EWG3PH  ,Germany,12:18:05,9.9511,53.7244,1280.16,False,120.19,21.07,18.21,,1371.6,False,Hamburg Helmut Schmidt Airport
505dda,OMS600  ,Slovakia,12:18:04,14.6797,45.8409,2004.06,False,75.34,72.93,-0.33,,,False,Ljubljana Jože Pučnik Airport
44022b,AUA810Y ,Austria,12:18:04,16.6065,48.0529,320.04,False,64.66,344.31,-3.9,,464.82,False,Vienna International Airport
885226,THA935  ,Thailand,12:18:04,10.2521,49.9869,11117.58,False,279.79,94.75,2.6,,11483.34,False,Nuremberg Airport
3d258b,DEMLV   ,Germany,12:15:20,8.4927,47.9753,883.92,False,48.11,138.47,-4.88,,1036.32,False,Zürich Airport
3ffbab,DMMWK   ,Germany,12:13:10,7.8809,51.2859,571.5,False,38.68,331.39,-3.25,,708.66,False,Cologne Bonn Airport
393323,AFR19FT ,France,12:18:05,6.2227,46.5249,10965.18,False,205.45,310.43,0.0,,11437.62,False,Geneva Cointrin International Airport
4aca96,NSZ1KS  ,Sweden,12:18:04,8.0106,53.8112,11887.2,False,242.27,45.17,0.0,,12131.04,False,Hamburg Helmut Schmidt Airport
3c5eee,EWG7R   ,Germany,12:18:04,11.0889,51.2076,11590.02,False,220.02,354.9,0.0,,11879.58,False,Leipzig/Halle Airport
471f8f,WZZ20XE ,Hungary,12:18:03,7.6003,47.4873,998.22,False,97.81,334.78,-6.18,,1150.62,False,EuroAirport Basel-Mulhouse-Freiburg
4520ce,CFG9PH  ,Bulgaria,12:18:04,8.0745,47.8212,8519.16,False,187.68,216.3,9.1,,8907.78,False,EuroAirport Basel-Mulhouse-Freiburg
4400f3,EJU42HB ,Austria,12:18:04,9.9103,45.2669,6111.24,False,214.79,114.48,9.1,,6484.62,False,Milan Bergamo Airport / Antonio Locatelli Air Base
4400eb,EJU839P ,Austria,12:18:04,9.0275,45.4597,3733.8,False,177.69,143.59,14.31,,4000.5,False,Milan Malpensa International Airport
471f9e,WMT722  ,Hungary,12:18:04,15.0075,45.3826,10363.2,False,201.44,310.44,0.0,,10881.36,False,Zagreb Franjo Tuđman International Airport
392035,FGIBV   ,France,12:18:04,5.8188,45.6443,2133.6,False,47.66,13.74,5.2,,2339.34,False,Lyon Saint-Exupéry Airport
471f6f,WMT718  ,Hungary,12:18:04,18.2829,45.3759,10668.0,False,253.29,165.65,0.0,,11155.68,False,Belgrade Nikola Tesla Airport
471f6b,WZZ1919 ,Hungary,11:50:59,18.1177,52.359,10668.0,False,251.68,91.76,0.0,,10835.64,False,Warsaw Chopin Airport
471f67,WMT3JN  ,Hungary,12:18:04,9.7532,48.453,3383.28,False,162.94,280.92,-2.6,,3604.26,False,Stuttgart Airport
471f4a,WZZ902  ,Hungary,12:16:59,10.2335,47.989,,True,0.0,25.31,,,,False,Stuttgart Airport
471f71,WMT9BQ  ,Hungary,12:18:00,5.0822,45.7147,,True,1.29,22.5,,,,False,Lyon Saint-Exupéry Airport
471f70,WZZ5CN  ,Hungary,12:18:04,15.4954,46.9054,10965.18,False,213.7,217.17,0.0,,11414.76,False,Ljubljana Jože Pučnik Airport
471f74,WZZ51RL ,Hungary,12:18:05,14.3538,53.2466,11262.36,False,245.48,63.76,0.33,,11445.24,False,Berlin Brandenburg Airport
a16ff1,DAL9887 ,United States,12:17:35,8.5621,47.4455,342.9,True,0.0,334.69,,,,False,Zürich Airport
471f5d,WZZ458  ,Hungary,12:18:04,14.409,49.1334,11582.4,False,200.18,316.87,0.0,,11971.02,False,Václav Havel Airport Prague
4400e3,EJU46JM ,Austria,12:18:03,9.7858,46.8737,11277.6,False,256.28,122.96,0.0,,11757.66,False,Zürich Airport
7809aa,CCA957  ,China,12:16:12,8.5821,50.0426,,True,5.92,11.25,,,,False,Frankfurt Airport
471f55,WMT3GR  ,Hungary,12:18:04,11.806,50.2881,11590.02,False,199.38,294.38,0.0,,11940.54,False,Nuremberg Airport
471f54,WMT953  ,Hungary,12:18:04,17.6575,46.0666,11277.6,False,240.56,73.35,0.0,,11765.28,False,Zagreb Franjo Tuđman International Airport
471f3d,WZZ3088 ,Hungary,12:01:13,19.8962,54.8806,10378.44,False,4.12,270.0,-0.33,,9387.84,False,Gdańsk Lech Wałęsa Airport
471f37,WZZ54   ,Hungary,12:18:05,18.8133,50.4681,10980.42,False,225.93,333.49,0.0,,11269.98,False,Kraków John Paul II International Airport
471f31,WZZ59PS ,Hungary,12:18:04,7.2569,52.2275,10675.62,False,209.55,265.35,-0.33,,10988.04,False,Düsseldorf Airport
471f32,WZZ99HZ ,Hungary,12:18:05,10.9586,51.4247,10751.82,False,256.77,88.74,4.88,,11056.62,False,Leipzig/Halle Airport
7809db,CHH790  ,China,12:18:04,18.3303,47.7418,7543.8,False,242.74,106.25,7.15,,7871.46,False,Budapest Liszt Ferenc International Airport
505f6a,SQF2718 ,Slovakia,12:18:03,18.8043,48.8957,2385.06,False,95.71,153.85,-1.63,,2545.08,False,M. R. Štefánik Airport
3ffbea,DMIGP   ,Germany,12:18:04,9.4682,52.0668,1127.76,False,80.67,95.86,1.63,,1249.68,False,Hannover Airport
3d37a4,RWL1735 ,Germany,12:18:04,7.4014,50.7363,815.34,False,55.8,192.24,-0.33,,960.12,False,Cologne Bonn Airport
4400a1,CE3     ,Austria,12:16:37,13.4499,48.4007,243.84,False,5.14,306.87,-0.98,,396.24,False,Munich Airport
3edbf7,DKYGL   ,Germany,12:18:04,12.6486,48.2431,1120.14,False,35.68,24.72,-0.33,,1280.16,False,Munich Airport
3ffbe3,DMEUP   ,Germany,12:18:05,14.1076,50.2914,601.98,False,52.9,97.26,2.93,,746.76,False,Václav Havel Airport Prague
3ffbe1,DMBKL   ,Germany,12:18:04,14.6841,47.1994,2651.76,False,66.74,319.06,0.0,,2819.4,False,Ljubljana Jože Pučnik Airport
3e8b41,GAF187  ,Germany,12:18:04,8.5249,49.801,7002.78,False,202.61,167.83,1.95,,7315.2,False,Frankfurt Airport
407b55,WUK5NV  ,United Kingdom,12:18:04,16.0512,49.2559,10355.58,False,189.75,292.81,0.0,,10683.24,False,Vienna International Airport
3eee60,D3529   ,Germany,12:18:05,14.6562,49.4643,1661.16,False,31.73,286.97,-0.33,,1844.04,False,Václav Havel Airport Prague
3f88b9,MITY55  ,Germany,12:18:03,11.934,49.5667,662.94,False,63.17,232.94,0.0,,815.34,False,Nuremberg Airport
3c4b2e,DLH8W   ,Germany,12:18:04,7.9835,50.0739,3055.62,False,163.58,318.19,6.5,,3253.74,False,Frankfurt Airport
3c4b2c,DLH7K   ,Germany,12:18:05,5.8117,51.4199,9448.8,False,239.89,319.96,0.33,,9761.22,False,Eindhoven Airport
3c4b2b,DLH499  ,Germany,12:18:04,8.9556,50.2143,2194.56,False,135.78,128.69,-5.85,,2377.44,False,Frankfurt Airport
3c4b4e,EWG967  ,Germany,12:18:05,9.2868,48.9059,10126.98,False,209.19,328.58,-13.0,,10538.46,False,Stuttgart Airport
3c4b4c,EWG7KX  ,Germany,12:18:04,6.6959,51.3881,1981.2,False,140.09,2.74,19.18,,2125.98,False,Düsseldorf Airport
3c4b4b,EWG70V  ,Germany,12:18:05,10.9995,46.0585,10683.24,False,214.48,214.64,3.9,,11193.78,False,Verona Villafranca Valerio Catullo Airport
3443d1,VLG33NE ,Spain,12:18:04,8.254,45.1459,6858.0,False,205.6,204.38,10.4,,7239.0,False,Turin Airport
506fc3,S5DUD   ,Slovenia,12:15:53,15.6616,46.5141,373.38,False,44.18,242.24,-5.2,,601.98,False,Zagreb Franjo Tuđman International Airport
506fc2,OKBUS58 ,Slovenia,12:18:04,15.7897,47.0523,2148.84,False,60.41,184.89,-1.3,,2301.24,False,Vienna International Airport
3f62fc,GAF013  ,Germany,12:17:16,9.424,52.4571,,True,14.4,261.56,,,,False,Hannover Airport
3ffb91,DMRGA   ,Germany,12:18:05,6.808,50.9848,510.54,False,66.37,237.67,0.65,,647.7,False,Cologne Bonn Airport
505cb2,FJHMK   ,Slovakia,12:18:04,15.0561,48.7301,2948.94,False,68.1,79.11,-0.65,,3093.72,False,Vienna International Airport
3edb8e,DKYCK   ,Germany,12:18:03,12.5259,48.0485,708.66,False,41.88,332.18,-4.55,,861.06,False,Munich Airport
